USW00198,West Bnegal/Kolkata,2014-06-23,88,78,68
USW00199,West Bnegal/Kolkata,2014-06-24,93,84,74
USW00200,West Bnegal/Kolkata,2014-06-25,89,80,71
USW00201,West Bnegal/Kolkata,2014-06-26,88,80,71
USW00202,West Bnegal/Kolkata,2014-06-27,91,83,75
USW00203,West Bnegal/Kolkata,2014-06-28,93,86,78
USW00204,West Bnegal/Kolkata,2014-06-29,95,86,77
USW00205,West Bnegal/Kolkata,2014-06-30,96,87,77
USW00206,West Bnegal/Kolkata,2014-07-01,96,86,75
USW00207,West Bnegal/Kolkata,2014-07-02,97,85,73
USW00208,West Bnegal/Kolkata,2014-07-03,96,84,72
USW00209,West Bnegal/Kolkata,2014-07-04,93,82,71
USW00210,West Bnegal/Kolkata,2014-07-05,94,82,69
USW00211,West Bnegal/Kolkata,2014-07-06,95,84,72
USW00212,West Bnegal/Kolkata,2014-07-07,96,85,73
USW00213,West Bnegal/Kolkata,2014-07-08,98,86,74
USW00214,West Bnegal/Kolkata,2014-07-09,98,85,72
USW00215,West Bnegal/Kolkata,2014-07-10,96,84,72
USW00216,West Bnegal/Kolkata,2014-07-11,95,83,71
USW00217,West Bnegal/Kolkata,2014-07-12,98,85,71
USW00218,West Bnegal/Kolkata,2014-07-13,100,87,74
USW00219,West Bnegal/Kolkata,2014-07-14,101,88,75
USW00220,West Bnegal/Kolkata,2014-07-15,92,83,73
USW00221,West Bnegal/Kolkata,2014-07-16,95,84,73
USW00222,West Bnegal/Kolkata,2014-07-17,89,82,74
USW00223,West Bnegal/Kolkata,2014-07-18,78,75,72
USW00224,West Bnegal/Kolkata,2014-07-19,86,78,70
USW00225,West Bnegal/Kolkata,2014-07-20,94,84,74
USW00226,West Bnegal/Kolkata,2014-07-21,96,87,77
USW00227,West Bnegal/Kolkata,2014-07-22,96,86,76
USW00228,West Bnegal/Kolkata,2014-07-23,97,86,75
USW00229,West Bnegal/Kolkata,2014-07-24,94,84,74
USW00230,West Bnegal/Kolkata,2014-07-25,96,86,75
USW00231,West Bnegal/Kolkata,2014-07-26,98,87,76
USW00232,West Bnegal/Kolkata,2014-07-27,98,87,75
USW00233,West Bnegal/Kolkata,2014-07-28,99,87,74
USW00234,West Bnegal/Kolkata,2014-07-29,97,87,76
